id:ID,name,:LABEL,描述
fc_001,轴承长期运行磨损,故障原因,轴承达到使用寿命，正常磨损
fc_002,润滑油不足,故障原因,齿轮箱或液压系统油位过低，润滑不良
fc_003,润滑油污染,故障原因,润滑油中混入杂质、水分或金属颗粒
fc_004,润滑油变质,故障原因,润滑油使用时间过长，氧化变质
fc_005,齿轮过载运行,故障原因,风机长期在过载工况下运行，齿轮受力过大
fc_006,齿轮制造缺陷,故障原因,齿轮在制造过程中存在材质或加工缺陷
fc_007,齿轮安装不当,故障原因,齿轮安装时对中不良或间隙调整不当
fc_008,冷却器堵塞,故障原因,冷却器散热片被灰尘、油污堵塞，散热效果差
fc_009,冷却风扇故障,故障原因,冷却风扇不转或转速不够，散热不良
fc_010,过滤器堵塞,故障原因,过滤器滤芯被杂质堵塞，油液流通不畅
fc_011,密封件老化损坏,故障原因,密封件使用时间过长，老化变硬或开裂
fc_012,螺栓松动,故障原因,设备长期运行振动，导致螺栓松动
fc_013,轴封损坏,故障原因,轴封磨损或老化，导致油液渗漏
fc_014,润滑油泵故障,故障原因,润滑油泵电机损坏或叶轮堵塞，无法供油
fc_015,主轴弯曲变形,故障原因,主轴受到极端载荷冲击，发生弯曲变形
fc_016,联轴器安装不对中,故障原因,联轴器安装时同轴度偏差过大
fc_017,联轴器螺栓松动,故障原因,联轴器螺栓长期振动松动
fc_018,刹车盘磨损严重,故障原因,刹车盘使用时间过长，磨损超过极限
fc_019,刹车钳活塞卡滞,故障原因,刹车钳活塞被油污或杂质卡滞，无法动作
fc_020,发电机绕组绝缘老化,故障原因,发电机绕组长期运行，绝缘老化
fc_021,发电机过载运行,故障原因,发电机长期在过载工况下运行，温度过高
fc_022,滑环表面污染,故障原因,滑环表面被碳粉、油污污染，接触不良
fc_023,碳刷压力不足,故障原因,碳刷弹簧压力不够，碳刷与滑环接触不良
fc_024,碳刷型号不符,故障原因,使用了不符合要求的碳刷型号
fc_025,励磁调节器故障,故障原因,励磁系统调节器损坏，无法正常励磁
fc_026,变桨电机过载,故障原因,变桨阻力过大，导致电机过载
fc_027,变桨电机轴承损坏,故障原因,变桨电机轴承磨损，导致电机故障
fc_028,变桨减速器齿轮磨损,故障原因,变桨减速器齿轮长期运行磨损
fc_029,变桨编码器接线松动,故障原因,编码器信号线接头松动，信号中断
fc_030,变桨编码器损坏,故障原因,编码器受到冲击或振动损坏
fc_031,变桨蓄电池老化,故障原因,蓄电池使用时间过长，容量衰减
fc_032,变桨蓄电池充电不足,故障原因,充电系统故障，蓄电池无法充满电
fc_033,变桨PLC程序错误,故障原因,变桨PLC程序出现bug或被篡改
fc_034,偏航电机过载,故障原因,偏航阻力过大，导致电机过载
fc_035,偏航减速器齿轮磨损,故障原因,偏航减速器齿轮长期运行磨损
fc_036,偏航轴承润滑不良,故障原因,偏航轴承润滑油不足或变质
fc_037,偏航刹车磨损严重,故障原因,偏航刹车片使用时间过长，磨损超过极限
fc_038,风向标被异物遮挡,故障原因,风向标被树枝、塑料袋等异物遮挡
fc_039,风速仪被异物缠绕,故障原因,风速仪被塑料袋、绳索等异物缠绕
fc_040,液压泵电机损坏,故障原因,液压泵电机烧毁或轴承损坏
fc_041,液压泵叶轮堵塞,故障原因,液压泵叶轮被杂质堵塞，无法吸油
fc_042,液压系统泄漏,故障原因,液压管路、接头或密封件损坏，导致油液泄漏
fc_043,液压阀卡滞,故障原因,液压阀阀芯被杂质卡滞，无法正常动作
fc_044,液压缸活塞密封损坏,故障原因,液压缸活塞密封件老化损坏，导致内泄
fc_045,变频器过载运行,故障原因,变频器长期在过载工况下运行
fc_046,变频器散热不良,故障原因,变频器散热片堵塞或风扇故障，温度过高
fc_047,变频器输入电压异常,故障原因,电网电压波动过大或缺相
fc_048,IGBT模块损坏,故障原因,IGBT模块过流、过压或过热损坏
fc_049,电解电容老化,故障原因,电解电容使用时间过长，容量衰减
fc_050,PLC电源模块损坏,故障原因,PLC电源模块烧毁，无法供电
fc_051,PLC程序丢失,故障原因,PLC程序被误删除或电池没电导致丢失
fc_052,传感器接线松动,故障原因,传感器信号线接头松动，信号中断
fc_053,传感器损坏,故障原因,传感器受到冲击、振动或腐蚀损坏
fc_054,电缆绝缘老化,故障原因,电缆使用时间过长，绝缘层老化
fc_055,电缆被外力损坏,故障原因,电缆被机械撞击、挤压或鼠咬损坏
fc_056,电气接头氧化,故障原因,电气接头长期暴露在空气中，氧化腐蚀
fc_057,变压器过载运行,故障原因,变压器长期在过载工况下运行
fc_058,变压器散热不良,故障原因,变压器散热片堵塞，温度过高
fc_059,断路器触头磨损,故障原因,断路器频繁分合闸，触头磨损
fc_060,接触器触头烧蚀,故障原因,接触器频繁通断，触头烧蚀
fc_061,继电器线圈烧毁,故障原因,继电器线圈过压或过流烧毁
fc_062,熔断器过载熔断,故障原因,电路中电流过大，熔断器熔断保护
fc_063,UPS电池老化,故障原因,UPS蓄电池使用时间过长，容量衰减
fc_064,通信模块损坏,故障原因,远程通信模块硬件损坏
fc_065,通信线路故障,故障原因,通信线路被切断或接头松动
fc_066,数据采集模块损坏,故障原因,数据采集模块硬件损坏
fc_067,塔筒基础不均匀沉降,故障原因,基础地质条件不好或施工质量差
fc_068,法兰螺栓预紧力不足,故障原因,法兰螺栓安装时预紧力不够
fc_069,接地极腐蚀,故障原因,接地极长期埋在地下，腐蚀生锈
fc_070,火灾探测器误报,故障原因,火灾探测器被灰尘或烟雾干扰
fc_071,齿轮箱进水,故障原因,齿轮箱呼吸阀损坏或密封不严，导致雨水进入
fc_072,液压系统进水,故障原因,液压油箱呼吸阀损坏或密封不严，导致雨水进入
fc_073,叶片结冰,故障原因,冬季低温高湿天气，叶片表面结冰
fc_074,叶片受到雷击,故障原因,雷雨天气，叶片被雷电击中
fc_075,机舱罩受到外力撞击,故障原因,机舱罩被飞鸟、冰雹或其他物体撞击
fc_076,导流罩受到外力撞击,故障原因,导流罩被飞鸟、冰雹或其他物体撞击
fc_077,爬梯锈蚀严重,故障原因,爬梯长期暴露在户外，锈蚀严重
fc_078,升降机电机损坏,故障原因,升降机电机烧毁或轴承损坏
fc_079,防雷装置接地不良,故障原因,防雷装置接地电阻过大，无法有效泄放雷电流
fc_080,齿轮箱行星架过载损坏,故障原因,齿轮箱受到极端载荷冲击，行星架断裂