id:ID,name,:LABEL,描述
fp_001,齿轮箱油温超过85℃,故障现象,齿轮箱油温传感器显示温度持续高于85℃
fp_002,齿轮箱油位低于最低刻度,故障现象,齿轮箱油位计显示油位在最低刻度以下
fp_003,齿轮箱油位高于最高刻度,故障现象,齿轮箱油位计显示油位在最高刻度以上
fp_004,齿轮箱振动值超过4.5mm/s,故障现象,齿轮箱振动传感器显示振动值大于4.5mm/s
fp_005,齿轮箱发出异常金属摩擦声,故障现象,齿轮箱运行时听到明显的金属摩擦或撞击声
fp_006,齿轮箱外壳有油迹,故障现象,齿轮箱表面、法兰或轴端有润滑油渗漏
fp_007,润滑油泵出口压力低于0.2MPa,故障现象,润滑油泵压力传感器显示压力不足
fp_008,冷却器进出口温差小于5℃,故障现象,冷却器进出口温度差明显减小
fp_009,过滤器前后压差大于0.3MPa,故障现象,过滤器进出口压力差超过0.3MPa
fp_010,主轴振动值超过3.5mm/s,故障现象,主轴振动传感器显示振动值大于3.5mm/s
fp_011,联轴器处有异响,故障现象,联轴器运行时发出异常声响
fp_012,高速轴刹车无法抱死,故障现象,发出刹车指令后,高速轴仍能转动
fp_013,刹车盘表面有划痕,故障现象,刹车盘表面出现明显的划痕或沟槽
fp_014,刹车钳处有液压油渗漏,故障现象,刹车钳表面有液压油迹
fp_015,发电机定子温度超过130℃,故障现象,发电机定子温度传感器显示温度高于130℃
fp_016,发电机转子温度超过110℃,故障现象,发电机转子温度传感器显示温度高于110℃
fp_017,发电机振动值超过3.0mm/s,故障现象,发电机振动传感器显示振动值大于3.0mm/s
fp_018,发电机发出异常电磁声,故障现象,发电机运行时发出异常的电磁嗡嗡声
fp_019,滑环表面有烧蚀痕迹,故障现象,滑环表面出现黑色烧蚀斑点
fp_020,碳刷长度小于10mm,故障现象,碳刷磨损严重,剩余长度不足10mm
fp_021,碳刷与滑环接触处有火花,故障现象,碳刷与滑环接触部位产生明显火花
fp_022,发电机冷却风扇不转,故障现象,发电机冷却风扇通电后不转动
fp_023,变桨电机无法启动,故障现象,发出变桨指令后,变桨电机不转动
fp_024,变桨电机转速异常,故障现象,变桨电机转速忽快忽慢或达不到额定转速
fp_025,变桨编码器无信号输出,故障现象,变桨编码器没有角度信号反馈
fp_026,变桨编码器信号波动,故障现象,变桨编码器输出的角度信号不稳定
fp_027,变桨蓄电池电压低于20V,故障现象,变桨蓄电池端电压低于20V
fp_028,三个叶片角度偏差大于2°,故障现象,三个叶片的实际角度差值超过2度
fp_029,叶片无法转动到指定角度,故障现象,发出变桨指令后,叶片停在中间位置
fp_030,叶片运行时发出异响,故障现象,叶片转动时听到异常的风声或摩擦声
fp_031,变桨控制柜报警灯亮,故障现象,变桨控制柜上的红色报警灯点亮
fp_032,偏航电机无法启动,故障现象,发出偏航指令后,偏航电机不转动
fp_033,偏航速度异常,故障现象,偏航速度过快或过慢
fp_034,偏航时发出刺耳的摩擦声,故障现象,机舱偏航时听到明显的摩擦声
fp_035,偏航停止后角度偏差大于5°,故障现象,偏航结束后,机舱与风向的夹角大于5度
fp_036,风向标无风向信号,故障现象,风向标没有风向数据输出
fp_037,风速仪无风速信号,故障现象,风速仪没有风速数据输出
fp_038,液压泵出口压力低于10MPa,故障现象,液压系统压力传感器显示压力不足
fp_039,液压油温度超过60℃,故障现象,液压油温度传感器显示温度高于60℃
fp_040,液压系统管路有油迹,故障现象,液压管路、接头或阀组处有液压油渗漏
fp_041,液压缸动作缓慢,故障现象,液压缸伸出或收回的速度明显变慢
fp_042,液压过滤器前后压差大于0.5MPa,故障现象,液压过滤器进出口压力差超过0.5MPa
fp_043,变频器报警停机,故障现象,变频器显示故障代码并停机
fp_044,变频器散热片温度超过80℃,故障现象,变频器散热片温度传感器显示温度高于80℃
fp_045,主控系统报警,故障现象,主控柜上的红色报警灯点亮
fp_046,PLC无响应,故障现象,PLC指示灯不亮或程序不运行
fp_047,温度传感器显示数值异常,故障现象,温度传感器显示的数值明显偏离实际值
fp_048,振动传感器显示数值异常,故障现象,振动传感器显示的数值明显偏离实际值
fp_049,压力传感器显示数值异常,故障现象,压力传感器显示的数值明显偏离实际值
fp_050,电缆外皮有破损,故障现象,电缆绝缘层出现破损或裂纹
fp_051,接头处有发热现象,故障现象,电气接头处温度明显高于周围环境
fp_052,变压器油温超过85℃,故障现象,变压器油温传感器显示温度高于85℃
fp_053,断路器无法合闸,故障现象,断路器合闸后立即跳闸或无法合闸
fp_054,接触器吸合有异响,故障现象,接触器吸合时发出异常的电磁声
fp_055,熔断器熔断,故障现象,熔断器熔体烧断,指示灯熄灭
fp_056,UPS电源无法供电,故障现象,市电中断后,UPS无法输出交流电
fp_057,远程监控无数据,故障现象,远程监控平台无法收到风机数据
fp_058,数据采集不完整,故障现象,部分运行参数没有采集到
fp_059,塔筒振动值超过0.5mm/s,故障现象,塔筒加速度传感器显示振动值大于0.5mm/s
fp_060,基础有不均匀沉降,故障现象,塔筒出现倾斜,基础周围地面有裂缝
fp_061,法兰螺栓有松动迹象,故障现象,法兰螺栓的扭矩值低于规定值
fp_062,接地电阻大于4Ω,故障现象,接地电阻测试结果大于4欧姆
fp_063,火灾报警器报警,故障现象,火灾探测器发出声光报警
fp_064,齿轮箱轴封处漏油,故障现象,齿轮箱输入轴或输出轴端有润滑油渗漏
fp_065,发电机轴封处漏油,故障现象,发电机轴端有润滑油渗漏
fp_066,齿轮箱呼吸阀堵塞,故障现象,齿轮箱呼吸阀被灰尘或油污堵塞
fp_067,液压系统有气泡,故障现象,液压油箱内有明显的气泡
fp_068,变桨刹车无法抱死,故障现象,发出变桨刹车指令后,叶片仍能转动
fp_069,偏航刹车无法抱死,故障现象,发出偏航刹车指令后,机舱仍能转动
fp_070,发电机集电环表面有油污,故障现象,发电机集电环表面覆盖有油污
fp_071,齿轮箱油呈乳白色,故障现象,齿轮箱润滑油变成乳白色,说明进水乳化
fp_072,液压油呈乳白色,故障现象,液压油变成乳白色,说明进水乳化
fp_073,叶片表面有冰层,故障现象,叶片表面覆盖有冰层
fp_074,机舱罩有破损,故障现象,机舱罩表面出现裂缝或孔洞
fp_075,导流罩有破损,故障现象,导流罩表面出现裂缝或孔洞
fp_076,爬梯有锈蚀,故障现象,爬梯表面出现明显的锈蚀
fp_077,升降机无法运行,故障现象,升降机通电后无法上下运行
fp_078,防雷装置有损坏,故障现象,避雷针或引下线出现断裂或锈蚀
fp_079,齿轮箱行星架有裂纹,故障现象,齿轮箱行星架表面出现裂纹
fp_080,发电机转子不平衡,故障现象,发电机运行时振动明显增大
fp_081,主轴不平衡,故障现象,主轴运行时振动明显增大
fp_082,联轴器不对中,故障现象,联轴器处振动和异响明显增大
fp_083,齿轮箱不对中,故障现象,齿轮箱输入轴处振动明显增大
fp_084,发电机不对中,故障现象,发电机输入轴处振动明显增大
fp_085,偏航齿轮有磨损痕迹,故障现象,偏航齿轮齿面出现磨损或点蚀
fp_086,变桨齿轮有磨损痕迹,故障现象,变桨齿轮齿面出现磨损或点蚀
fp_087,液压泵轴封处漏油,故障现象,液压泵轴端有液压油渗漏
fp_088,液压缸活塞杆处漏油,故障现象,液压缸活塞杆处有液压油渗漏
fp_089,变频器风扇不转,故障现象,变频器散热风扇通电后不转动
fp_090,主控柜温度超过40℃,故障现象,主控柜内部温度传感器显示温度高于40℃
fp_091,控制柜温度超过40℃,故障现象,控制柜内部温度传感器显示温度高于40℃
fp_092,变压器油位低于最低刻度,故障现象,变压器油位计显示油位在最低刻度以下
fp_093,变压器油位高于最高刻度,故障现象,变压器油位计显示油位在最高刻度以上
fp_094,变压器油颜色变深,故障现象,变压器油颜色明显变深,说明油质劣化
fp_095,齿轮箱油加热器不工作,故障现象,齿轮箱油加热器通电后不发热
fp_096,液压油加热器不工作,故障现象,液压油加热器通电后不发热
fp_097,蓄电池充电不足,故障现象,蓄电池充电后电压仍达不到额定值
fp_098,人机界面黑屏,故障现象,人机界面通电后屏幕不亮
fp_099,人机界面无响应,故障现象,点击人机界面按钮没有反应
fp_100,齿轮箱齿轮断齿,故障现象,齿轮箱突然发出巨大的撞击声,随后停机