id:ID,name,:LABEL,步骤编号,操作内容,难度等级,是否停机
rs_001,停机断电,维修步骤,1,按下紧急停机按钮，断开风机主电源,简单,是
rs_002,检查油位,维修步骤,2,打开齿轮箱油位计，检查油位是否正常,简单,是
rs_003,补充润滑油,维修步骤,3,通过加油口加入同型号润滑油至正常油位,简单,是
rs_004,更换润滑油,维修步骤,3,打开放油阀，放尽旧油，加入新润滑油,中等,是
rs_005,更换过滤器滤芯,维修步骤,3,拆下旧滤芯，安装新滤芯,中等,是
rs_006,清洗冷却器,维修步骤,3,用高压水冲洗冷却器散热片,中等,是
rs_007,紧固螺栓,维修步骤,3,用扭矩扳手按规定扭矩紧固松动的螺栓,简单,是
rs_008,更换密封件,维修步骤,4,拆下损坏的密封件，安装新密封件,中等,是
rs_009,更换轴承,维修步骤,5,拆卸设备，取出旧轴承，安装新轴承,困难,是
rs_010,更换齿轮,维修步骤,6,拆卸齿轮箱，取出损坏的齿轮，安装新齿轮,困难,是
rs_011,更换联轴器,维修步骤,4,拆卸旧联轴器，安装新联轴器并对中,中等,是
rs_012,更换刹车盘,维修步骤,4,拆卸旧刹车盘，安装新刹车盘,中等,是
rs_013,更换刹车钳,维修步骤,4,拆卸旧刹车钳，安装新刹车钳并排气,中等,是
rs_014,更换碳刷,维修步骤,2,取出旧碳刷，安装新碳刷并调整压力,简单,是
rs_015,清洁滑环,维修步骤,3,用无水酒精清洁滑环表面,简单,是
rs_016,更换变桨电机,维修步骤,4,拆卸旧变桨电机，安装新电机,中等,是
rs_017,更换变桨编码器,维修步骤,3,拆卸旧编码器，安装新编码器并校准,中等,是
rs_018,更换变桨蓄电池,维修步骤,2,断开旧蓄电池，连接新蓄电池,简单,是
rs_019,校准叶片角度,维修步骤,4,手动调整叶片角度，校准编码器零点,中等,是
rs_020,更换偏航电机,维修步骤,4,拆卸旧偏航电机，安装新电机,中等,是
rs_021,更换偏航刹车片,维修步骤,4,拆卸旧刹车片，安装新刹车片,中等,是
rs_022,更换风向标,维修步骤,2,拆卸旧风向标，安装新风向标并校准,简单,是
rs_023,更换风速仪,维修步骤,2,拆卸旧风速仪，安装新风速仪并校准,简单,是
rs_024,更换液压泵,维修步骤,4,拆卸旧液压泵，安装新泵并排气,中等,是
rs_025,更换液压阀,维修步骤,3,拆卸旧液压阀，安装新阀,中等,是
rs_026,更换液压缸,维修步骤,4,拆卸旧液压缸，安装新缸并排气,中等,是
rs_027,更换变频器IGBT模块,维修步骤,5,拆卸变频器，取出损坏的IGBT模块，安装新模块,困难,是
rs_028,更换变频器电容,维修步骤,4,拆卸变频器，取出旧电容，安装新电容,中等,是
rs_029,更换传感器,维修步骤,2,拆卸旧传感器，安装新传感器并接线,简单,是
rs_030,更换电缆,维修步骤,4,拆除旧电缆，铺设新电缆并接线,中等,是
rs_031,更换接触器,维修步骤,2,拆卸旧接触器，安装新接触器并接线,简单,是
rs_032,更换继电器,维修步骤,2,拔出旧继电器，插入新继电器,简单,是
rs_033,更换熔断器,维修步骤,1,拔出旧熔断器，插入新熔断器,简单,是
rs_034,更换PLC模块,维修步骤,3,拆卸旧PLC模块，安装新模块并下载程序,中等,是
rs_035,更换通信模块,维修步骤,3,拆卸旧通信模块，安装新模块并配置参数,中等,是
rs_036,检查接地电阻,维修步骤,2,用接地电阻测试仪测量接地电阻,简单,否
rs_037,紧固法兰螺栓,维修步骤,3,用扭矩扳手按规定扭矩紧固法兰螺栓,中等,是
rs_038,清理叶片表面结冰,维修步骤,3,使用专用工具清理叶片表面的冰层,中等,是
rs_039,系统复位,维修步骤,最后,合上主电源，复位系统报警,简单,否
rs_040,试运行,维修步骤,最后,启动风机，检查运行状态是否正常,简单,否