id:ID,name,:LABEL,发生频率,影响等级,易发工况,平均修复时间,知识来源
fm_001,齿轮箱轴承磨损,故障模式,高,重要,额定运行,8,《金风3MW风机维修手册》
fm_002,齿轮箱齿轮点蚀,故障模式,高,重要,额定运行,12,《金风3MW风机维修手册》
fm_003,齿轮箱齿轮断齿,故障模式,中,紧急,过载运行,24,《风电故障案例集》
fm_004,齿轮箱油温过高,故障模式,高,一般,夏季高温,2,《金风3MW风机维修手册》
fm_005,齿轮箱油位过低,故障模式,中,一般,长期运行,1,《金风3MW风机维修手册》
fm_006,齿轮箱油位过高,故障模式,低,一般,加油过量,1,《金风3MW风机维修手册》
fm_007,齿轮箱油污染,故障模式,中,重要,长期运行,4,《金风3MW风机维修手册》
fm_008,齿轮箱漏油,故障模式,高,一般,长期运行,2,《金风3MW风机维修手册》
fm_009,齿轮箱振动超标,故障模式,高,重要,额定运行,4,《金风3MW风机维修手册》
fm_010,齿轮箱异响,故障模式,高,一般,额定运行,3,《金风3MW风机维修手册》
fm_011,齿轮箱润滑油泵故障,故障模式,中,重要,额定运行,4,《金风3MW风机维修手册》
fm_012,齿轮箱冷却器堵塞,故障模式,中,一般,夏季高温,3,《金风3MW风机维修手册》
fm_013,齿轮箱过滤器堵塞,故障模式,中,一般,长期运行,2,《金风3MW风机维修手册》
fm_014,主轴轴承磨损,故障模式,中,重要,额定运行,12,《金风3MW风机维修手册》
fm_015,主轴弯曲,故障模式,低,紧急,极端载荷,48,《风电故障案例集》
fm_016,联轴器松动,故障模式,中,一般,长期运行,2,《金风3MW风机维修手册》
fm_017,联轴器损坏,故障模式,低,紧急,过载运行,16,《风电故障案例集》
fm_018,高速轴刹车失灵,故障模式,中,紧急,停机过程,8,《金风3MW风机维修手册》
fm_019,刹车盘磨损,故障模式,高,一般,频繁启停,4,《金风3MW风机维修手册》
fm_020,刹车钳漏油,故障模式,中,一般,长期运行,2,《金风3MW风机维修手册》
fm_021,发电机轴承磨损,故障模式,高,重要,额定运行,8,《金风3MW风机维修手册》
fm_022,发电机定子绕组短路,故障模式,低,紧急,过载运行,24,《风电故障案例集》
fm_023,发电机转子绕组短路,故障模式,低,紧急,过载运行,24,《风电故障案例集》
fm_024,发电机温度过高,故障模式,高,一般,夏季高温,2,《金风3MW风机维修手册》
fm_025,发电机振动超标,故障模式,中,重要,额定运行,4,《金风3MW风机维修手册》
fm_026,发电机异响,故障模式,中,一般,额定运行,3,《金风3MW风机维修手册》
fm_027,滑环磨损,故障模式,高,一般,长期运行,4,《金风3MW风机维修手册》
fm_028,碳刷磨损,故障模式,高,一般,长期运行,1,《金风3MW风机维修手册》
fm_029,碳刷打火,故障模式,中,重要,长期运行,2,《金风3MW风机维修手册》
fm_030,励磁系统故障,故障模式,中,重要,额定运行,6,《金风3MW风机维修手册》
fm_031,发电机冷却风扇故障,故障模式,中,一般,夏季高温,3,《金风3MW风机维修手册》
fm_032,变桨电机故障,故障模式,高,重要,变桨过程,6,《金风3MW风机维修手册》
fm_033,变桨减速器故障,故障模式,中,重要,变桨过程,12,《金风3MW风机维修手册》
fm_034,变桨编码器故障,故障模式,高,重要,变桨过程,4,《金风3MW风机维修手册》
fm_035,变桨蓄电池故障,故障模式,高,一般,低温环境,2,《金风3MW风机维修手册》
fm_036,叶片角度不一致,故障模式,中,重要,变桨过程,4,《金风3MW风机维修手册》
fm_037,叶片无法变桨,故障模式,中,紧急,变桨过程,8,《风电故障案例集》
fm_038,叶片异响,故障模式,中,一般,额定运行,3,《金风3MW风机维修手册》
fm_039,叶片裂纹,故障模式,低,紧急,极端天气,24,《风电故障案例集》
fm_040,叶片雷击损坏,故障模式,低,紧急,雷雨天气,48,《风电故障案例集》
fm_041,变桨控制柜故障,故障模式,中,重要,额定运行,6,《金风3MW风机维修手册》
fm_042,变桨PLC故障,故障模式,低,重要,额定运行,8,《金风3MW风机维修手册》
fm_043,偏航电机故障,故障模式,中,重要,偏航过程,6,《金风3MW风机维修手册》
fm_044,偏航减速器故障,故障模式,低,重要,偏航过程,12,《金风3MW风机维修手册》
fm_045,偏航轴承磨损,故障模式,低,重要,长期运行,24,《风电故障案例集》
fm_046,偏航刹车失灵,故障模式,中,紧急,偏航过程,8,《金风3MW风机维修手册》
fm_047,偏航异响,故障模式,高,一般,偏航过程,2,《金风3MW风机维修手册》
fm_048,偏航角度偏差,故障模式,中,一般,偏航过程,2,《金风3MW风机维修手册》
fm_049,风向标故障,故障模式,中,一般,长期运行,2,《金风3MW风机维修手册》
fm_050,风速仪故障,故障模式,中,一般,长期运行,2,《金风3MW风机维修手册》
fm_051,液压泵故障,故障模式,中,重要,额定运行,4,《金风3MW风机维修手册》
fm_052,液压油温度过高,故障模式,中,一般,夏季高温,2,《金风3MW风机维修手册》
fm_053,液压油压力过低,故障模式,中,重要,额定运行,2,《金风3MW风机维修手册》
fm_054,液压油压力过高,故障模式,低,一般,系统故障,2,《金风3MW风机维修手册》
fm_055,液压系统漏油,故障模式,高,一般,长期运行,2,《金风3MW风机维修手册》
fm_056,液压阀故障,故障模式,中,重要,额定运行,4,《金风3MW风机维修手册》
fm_057,液压缸故障,故障模式,中,重要,刹车过程,6,《金风3MW风机维修手册》
fm_058,液压过滤器堵塞,故障模式,中,一般,长期运行,2,《金风3MW风机维修手册》
fm_059,变频器故障,故障模式,中,重要,额定运行,8,《金风3MW风机维修手册》
fm_060,变频器IGBT损坏,故障模式,中,紧急,过载运行,12,《风电故障案例集》
fm_061,变频器电容损坏,故障模式,中,重要,长期运行,6,《金风3MW风机维修手册》
fm_062,变频器过热,故障模式,高,一般,夏季高温,2,《金风3MW风机维修手册》
fm_063,主控系统故障,故障模式,低,紧急,额定运行,12,《风电故障案例集》
fm_064,PLC故障,故障模式,低,重要,额定运行,8,《金风3MW风机维修手册》
fm_065,传感器故障,故障模式,高,一般,长期运行,2,《金风3MW风机维修手册》
fm_066,温度传感器故障,故障模式,高,一般,长期运行,2,《金风3MW风机维修手册》
fm_067,振动传感器故障,故障模式,中,一般,长期运行,2,《金风3MW风机维修手册》
fm_068,压力传感器故障,故障模式,中,一般,长期运行,2,《金风3MW风机维修手册》
fm_069,电缆故障,故障模式,中,重要,长期运行,4,《金风3MW风机维修手册》
fm_070,电缆绝缘损坏,故障模式,中,紧急,长期运行,8,《风电故障案例集》
fm_071,接头松动,故障模式,高,一般,长期运行,1,《金风3MW风机维修手册》
fm_072,变压器故障,故障模式,低,紧急,额定运行,24,《风电故障案例集》
fm_073,变压器过热,故障模式,中,一般,夏季高温,2,《金风3MW风机维修手册》
fm_074,断路器故障,故障模式,中,重要,启停过程,4,《金风3MW风机维修手册》
fm_075,接触器故障,故障模式,高,一般,长期运行,2,《金风3MW风机维修手册》
fm_076,继电器故障,故障模式,中,一般,长期运行,2,《金风3MW风机维修手册》
fm_077,熔断器熔断,故障模式,高,一般,过载运行,1,《金风3MW风机维修手册》
fm_078,UPS电源故障,故障模式,低,重要,断电过程,4,《金风3MW风机维修手册》
fm_079,远程通信故障,故障模式,中,一般,长期运行,2,《金风3MW风机维修手册》
fm_080,数据采集故障,故障模式,中,一般,长期运行,2,《金风3MW风机维修手册》
fm_081,塔筒振动超标,故障模式,低,重要,大风天气,4,《风电故障案例集》
fm_082,基础沉降,故障模式,低,紧急,长期运行,72,《风电故障案例集》
fm_083,法兰螺栓松动,故障模式,中,一般,长期运行,4,《金风3MW风机维修手册》
fm_084,接地故障,故障模式,中,重要,雷雨天气,4,《金风3MW风机维修手册》
fm_085,火灾报警,故障模式,低,紧急,异常情况,0.5,《金风3MW风机安全手册》
fm_086,齿轮箱轴封损坏,故障模式,中,一般,长期运行,4,《金风3MW风机维修手册》
fm_087,发电机轴封损坏,故障模式,中,一般,长期运行,4,《金风3MW风机维修手册》
fm_088,齿轮箱呼吸阀堵塞,故障模式,中,一般,长期运行,2,《金风3MW风机维修手册》
fm_089,液压系统进气,故障模式,中,一般,长期运行,2,《金风3MW风机维修手册》
fm_090,变桨刹车故障,故障模式,中,重要,变桨过程,4,《金风3MW风机维修手册》
fm_091,偏航刹车磨损,故障模式,高,一般,频繁偏航,4,《金风3MW风机维修手册》
fm_092,发电机集电环污染,故障模式,中,一般,长期运行,2,《金风3MW风机维修手册》
fm_093,齿轮箱油乳化,故障模式,中,重要,潮湿环境,4,《金风3MW风机维修手册》
fm_094,液压油乳化,故障模式,中,重要,潮湿环境,4,《金风3MW风机维修手册》
fm_095,叶片表面结冰,故障模式,中,一般,冬季低温,2,《金风3MW风机维修手册》
fm_096,机舱罩损坏,故障模式,低,一般,极端天气,8,《风电故障案例集》
fm_097,导流罩损坏,故障模式,低,一般,极端天气,8,《风电故障案例集》
fm_098,爬梯损坏,故障模式,低,一般,长期运行,4,《金风3MW风机维修手册》
fm_099,升降机故障,故障模式,低,一般,长期运行,8,《金风3MW风机维修手册》
fm_100,防雷装置损坏,故障模式,低,紧急,雷雨天气,12,《风电故障案例集》
fm_101,齿轮箱行星架损坏,故障模式,低,紧急,过载运行,36,《风电故障案例集》
fm_102,发电机转子不平衡,故障模式,中,重要,额定运行,8,《金风3MW风机维修手册》
fm_103,主轴不平衡,故障模式,中,重要,额定运行,8,《金风3MW风机维修手册》
fm_104,联轴器不对中,故障模式,中,重要,安装后,6,《金风3MW风机维修手册》
fm_105,齿轮箱不对中,故障模式,中,重要,安装后,6,《金风3MW风机维修手册》
fm_106,发电机不对中,故障模式,中,重要,安装后,6,《金风3MW风机维修手册》
fm_107,偏航齿轮磨损,故障模式,低,重要,长期运行,24,《风电故障案例集》
fm_108,变桨齿轮磨损,故障模式,低,重要,长期运行,24,《风电故障案例集》
fm_109,液压泵密封损坏,故障模式,中,一般,长期运行,2,《金风3MW风机维修手册》
fm_110,液压缸密封损坏,故障模式,中,一般,长期运行,2,《金风3MW风机维修手册》
fm_111,变频器风扇故障,故障模式,中,一般,夏季高温,2,《金风3MW风机维修手册》
fm_112,主控柜过热,故障模式,中,一般,夏季高温,2,《金风3MW风机维修手册》
fm_113,控制柜过热,故障模式,中,一般,夏季高温,2,《金风3MW风机维修手册》
fm_114,变压器油位过低,故障模式,中,一般,长期运行,2,《金风3MW风机维修手册》
fm_115,变压器油位过高,故障模式,低,一般,加油过量,1,《金风3MW风机维修手册》
fm_116,变压器油污染,故障模式,低,一般,长期运行,4,《金风3MW风机维修手册》
fm_117,齿轮箱油加热器故障,故障模式,低,一般,冬季低温,2,《金风3MW风机维修手册》
fm_118,液压油加热器故障,故障模式,低,一般,冬季低温,2,《金风3MW风机维修手册》
fm_119,蓄电池容量不足,故障模式,高,一般,长期使用,1,《金风3MW风机维修手册》
fm_120,人机界面故障,故障模式,低,一般,长期运行,2,《金风3MW风机维修手册》